#TimeStamp;TripTime;Type
70;20;O
77;27;O
81;30;O
82;35;O
84;30;O
93;46;O
164;20;O
171;23;O
178;30;O
183;15;O
189;25;O
198;35;O
366;20;O
374;25;O
380;32;O
381;34;O
386;17;O
395;30;O
