#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
6599.8;87;197;0;2171.98;0;3647.7;0;0.57
6659.66;87;197;0;2231.85;0;3707.57;0;0.57
6720;87;196;0;2286.33;0;3775.66;0;0.57
6779.95;87;196;0;2346.28;0;3835.61;0;0.57
6839.63;87;196;0;2405.97;0;3895.3;0;0.57
6899.7;87;195;0;2459.05;0;3871.06;0;0.57
6959.9;87;194;0;2366.65;0;3941.67;0;0.56
7019.95;87;192;0;2228.47;0;3928.96;0;0.55
7079.95;87;192;0;2288.47;0;3988.96;0;0.55
7139.65;87;192;0;2348.17;0;4048.66;0;0.55
7199.83;87;191;0;2220.24;0;4093.82;0;0.57
