#TimeStamp,BotsQueueing,TaskBotCounts,,,,,
3599.82,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
3659.98,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
3719.97,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/0,Rest/4
3779.72,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
3839.97,1,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
3899.99,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/5
3959.85,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/1,Rest/4
4019.92,1,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/2,Rest/3
4079.96,1,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
4139.61,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
4199.95,1,None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/1,Rest/2
4259.98,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
4319.92,0,None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/2,Rest/1
4379.84,2,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
4439.8,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
4499.87,0,None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/2,Rest/1
4559.92,2,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/2,Rest/3
4619.76,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
4679.88,0,None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/0,Rest/3
4739.61,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
4799.95,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
4859.86,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/2,Rest/3
4919.7,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
4979.96,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
5039.7,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/2,Rest/4
5099.82,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/5
5159.8,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/2,Rest/3
5219.76,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5279.86,1,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
5339.68,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5399.82,1,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/1
5459.82,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
5519.88,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
5579.67,0,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
5639.65,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
5699.73,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
5759.87,1,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5819.87,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/1
5879.59,1,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/1
5939.66,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
5999.89,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
6059.99,1,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
6119.97,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
6179.6,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/1
6239.65,0,None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/2,Rest/1
6299.7,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
6359.98,1,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
6419.83,0,None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/1,Rest/2
6479.61,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
6539.94,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
6599.8,1,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/1
6659.66,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/2,Rest/3
6720,2,None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
6779.95,1,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
6839.63,1,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
6899.7,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
6959.9,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
7019.95,0,None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/2,Rest/1
7079.95,0,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/1
7139.65,0,None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
7199.83,1,None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
