#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
1679.95;0;71;0;2;0/1679.95;0/1268.35,1/1375.54;0/0;0/1679.95,1/1679.95;0/0;0/41,1/43;0/0;0/41,1/44;0/0;0/0,1/0;0/0;0/41,1/30;0/0;0/42,1/31
1739.71;0;73;0;2;0/1739.71;0/1328.1,1/1418.81;0/0;0/1739.71,1/1739.71;0/0;0/39,1/40;0/0;0/41,1/42;0/0;0/0,1/0;0/0;0/41,1/32;0/0;0/42,1/33
1800;0;77;0;2;0/1800;0/1368.62,1/1455.59;0/0;0/1800,1/1800;0/0;0/38,1/40;0/0;0/39,1/40;0/0;0/0,1/0;0/0;0/43,1/34;0/0;0/44,1/35
1859.96;0;79;0;2;0/1859.96;0/1418.65,1/1514.52;0/0;0/1859.96,1/1859.96;0/0;0/36,1/38;0/0;0/38,1/39;0/0;0/0,1/0;0/0;0/44,1/35;0/0;0/45,1/36
1919.88;0;83;0;2;0/1919.88;0/1459.04,1/1552.74;0/0;0/1919.88,1/1919.88;0/0;0/38,1/37;0/0;0/40,1/37;0/0;0/0,1/0;0/0;0/46,1/37;0/0;0/47,1/38
1979.93;0;85;0;2;0/1979.93;0/1499.27,1/1605.98;0/0;0/1979.93,1/1979.93;0/0;0/36,1/36;0/0;0/38,1/37;0/0;0/0,1/0;0/0;0/48,1/37;0/0;0/49,1/38
2039.78;0;88;0;2;0/2039.78;0/1539.52,1/1656.08;0/0;0/2039.78,1/2039.78;0/0;0/36,1/40;0/0;0/36,1/42;0/0;0/0,1/0;0/0;0/50,1/38;0/0;0/51,1/39
2099.77;0;90;0;2;0/2099.77;0/1599.51,1/1696.46;0/0;0/2099.77,1/2099.77;0/0;0/34,1/44;0/0;0/36,1/46;0/0;0/0,1/0;0/0;0/50,1/40;0/0;0/51,1/41
2159.87;0;94;0;2;0/2159.87;0/1649.16,1/1736.86;0/0;0/2159.87,1/2159.87;0/0;0/38,1/47;0/0;0/40,1/47;0/0;0/0,1/0;0/0;0/52,1/42;0/0;0/53,1/43
2219.97;0;95;0;2;0/2219.97;0/1689.87,1/1796.96;0/0;0/2219.97,1/2219.97;0/0;0/42,1/44;0/0;0/43,1/47;0/0;0/0,1/0;0/0;0/53,1/42;0/0;0/54,1/43
2279.99;0;99;0;2;0/2279.99;0/1740.24,1/1827.43;0/0;0/2279.99,1/2279.99;0/0;0/40,1/43;0/0;0/42,1/44;0/0;0/0,1/0;0/0;0/54,1/45;0/0;0/55,1/46
2339.92;0;104;0;2;0/2339.92;0/1776.72,1/1873.67;0/0;0/2339.92,1/2339.92;0/0;0/44,1/41;0/0;0/45,1/42;0/0;0/0,1/0;0/0;0/57,1/47;0/0;0/58,1/48
2399.98;0;107;0;2;0/2399.98;0/1820.67,1/1909.65;0/0;0/2399.98,1/2399.98;0/0;0/54,1/43;0/0;0/56,1/44;0/0;0/0,1/0;0/0;0/58,1/49;0/0;0/59,1/50
2459.9;0;110;0;2;0/2459.9;0/1861.2,1/1958.07;0/0;0/2459.9,1/2459.9;0/0;0/57,1/40;0/0;0/57,1/43;0/0;0/0,1/0;0/0;0/60,1/50;0/0;0/61,1/51
2519.83;0;113;0;2;0/2519.83;0/1921.13,1/1988.63;0/0;0/2519.83,1/2519.83;0/0;0/56,1/42;0/0;0/57,1/44;0/0;0/0,1/0;0/0;0/60,1/53;0/0;0/61,1/54
2579.99;0;116;0;2;0/2579.99;0/1971.42,1/2037.51;0/0;0/2579.99,1/2579.99;0/0;0/55,1/45;0/0;0/56,1/45;0/0;0/0,1/0;0/0;0/61,1/55;0/0;0/62,1/56
2639.91;0;119;0;2;0/2639.91;0/2021.37,1/2079.86;0/0;0/2639.91,1/2639.91;0/0;0/55,1/43;0/0;0/55,1/44;0/0;0/0,1/0;0/0;0/62,1/57;0/0;0/63,1/57
2699.77;0;120;0;2;0/2699.77;0/2081.23,1/2120.15;0/0;0/2699.77,1/2699.77;0/0;0/53,1/47;0/0;0/55,1/48;0/0;0/0,1/0;0/0;0/62,1/58;0/0;0/63,1/59
2759.74;0;123;0;2;0/2759.74;0/2121.3,1/2169.39;0/0;0/2759.74,1/2759.74;0/0;0/51,1/50;0/0;0/53,1/51;0/0;0/0,1/0;0/0;0/64,1/59;0/0;0/65,1/60
2819.84;0;127;0;2;0/2819.84;0/2158.44,1/2219.5;0/0;0/2819.84,1/2819.84;0/0;0/54,1/50;0/0;0/56,1/50;0/0;0/0,1/0;0/0;0/67,1/60;0/0;0/68,1/61
2879.87;0;130;0;2;0/2879.87;0/2200,1/2277.63;0/0;0/2879.87,1/2879.87;0/0;0/54,1/47;0/0;0/54,1/49;0/0;0/0,1/0;0/0;0/69,1/61;0/0;0/70,1/62
2939.94;0;133;0;2;0/2939.94;0/2242.59,1/2310.27;0/0;0/2939.94,1/2939.94;0/0;0/49,1/46;0/0;0/53,1/47;0/0;0/0,1/0;0/0;0/70,1/63;0/0;0/71,1/64
2999.72;0;138;0;2;0/2999.72;0/2266.94,1/2360.07;0/0;0/2999.72,1/2999.72;0/0;0/58,1/46;0/0;0/61,1/46;0/0;0/0,1/0;0/0;0/74,1/64;0/0;0/75,1/65
3059.8;0;140;0;2;0/3059.8;0/2306.95,1/2420.16;0/0;0/3059.8,1/3059.8;0/0;0/63,1/44;0/0;0/65,1/46;0/0;0/0,1/0;0/0;0/76,1/64;0/0;0/77,1/65
3119.85;0;144;0;2;0/3119.85;0/2343.28,1/2460.72;0/0;0/3119.85,1/3119.85;0/0;0/60,1/52;0/0;0/63,1/53;0/0;0/0,1/0;0/0;0/78,1/66;0/0;0/79,1/67
3179.8;0;148;0;2;0/3179.8;0/2373.51,1/2510.79;0/0;0/3179.8,1/3179.8;0/0;0/63,1/48;0/0;0/63,1/52;0/0;0/0,1/0;0/0;0/81,1/67;0/0;0/82,1/68
