#TimeStamp;TripTime;Type
70;20;O
77;27;O
81;30;O
82;35;O
84;30;O
93;46;O
164;18;O
166;19;O
173;31;O
174;12;O
189;24;O
193;25;O
201;27;O
360;14;O
376;29;O
386;40;O
390;24;O
395;30;O
398;45;O
399;15;O
