#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;35.14;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.99;36.36;0.23;PP/0.02,TA/0,IS/0,PS/0,RB/0,OB/0.03,RP/0
119.98;36.57;0.25;PP/0.02,TA/0,IS/0,PS/0,RB/0,OB/0.03,RP/0
179.96;36.59;0.28;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.03,RP/0
239.74;36.75;0.3;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.03,RP/0
299.96;36.76;0.31;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.03,RP/0
359.86;36.83;0.33;PP/0.03,TA/0.02,IS/0.02,PS/0,RB/0,OB/0.03,RP/0
419.96;37.3;0.34;PP/0.03,TA/0.02,IS/0.02,PS/0,RB/0,OB/0.03,RP/0
479.8;38.49;0.34;PP/0.03,TA/0.02,IS/0.02,PS/0,RB/0,OB/0.03,RP/0
539.9;38.5;0.36;PP/0.03,TA/0.02,IS/0.02,PS/0,RB/0,OB/0.03,RP/0
599.98;38.5;0.36;PP/0.03,TA/0.02,IS/0.02,PS/0,RB/0,OB/0.03,RP/0
