Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;6.50;0;0;0;0;0;0;0;0;7200;0
OutputStation0;45.50;3.50;347;0;208;18.0738097793338;107.856352022057;10.0444444444443;63.0900937914123;1.66826923076923;3787.44805858972;7200
OutputStation1;45.50;9.50;323;0;198;17.5555164746796;115.053108568146;10.0444444444443;70.4746235306099;1.63131313131313;4025.9961313084;7200
