#TimeStamp;Bot;Pod;OutputStation
2152.41;2;25;1
2154.89;5;114;0
2167.16;4;155;1
2180.51;0;91;0
2181.09;5;114;1
2191.82;3;167;0
2202.21;4;155;0
2205.12;0;91;1
2212.31;4;155;0
2216.8;3;167;1
2222.63;4;155;0
2232.58;4;155;0
2242.73;1;156;0
2252.77;2;92;0
2255.53;4;155;1
2262.62;3;167;0
2265.64;4;155;1
2272.81;0;91;0
2275.76;1;156;1
2285.53;5;153;1
2295.82;2;92;1
2310.09;5;153;0
2320.13;5;153;0
2330.13;5;153;0
2340;2;92;0
2353.83;5;153;1
2355.55;3;99;0
2363.88;5;153;1
2365.76;3;99;0
2373.91;5;153;1
2375.8;3;99;0
2383.76;5;153;1
2385.59;0;142;0
2393.95;1;111;1
2395.84;0;142;0
2403.93;1;111;1
2409.13;4;105;0
2413.95;1;111;1
2419.4;4;105;0
2424;1;111;1
2433.8;0;142;1
2445.56;4;105;1
2450.81;5;47;0
2459.76;2;146;1
2460.93;5;47;0
2470.77;0;142;0
2476.04;3;168;1
2519.74;1;93;0
2529.61;1;93;0
2539.76;4;159;0
2549.94;4;159;0
2556.25;0;53;1
2560.36;4;159;0
2566.38;0;53;1
2570.09;4;159;0
2576.42;2;64;1
2580.46;4;159;0
2586.26;2;64;1
2596.39;2;64;1
2606.39;5;24;1
2616.48;3;105;1
2620.46;2;64;0
2633.63;1;144;0
2643.94;1;144;0
2644.96;2;64;1
2654.9;2;64;1
2664.79;2;64;1
2668.05;5;75;0
2674.87;0;152;1
2678.05;5;75;0
2685.01;1;144;1
2687.97;5;75;0
2695.18;1;144;1
2698.04;5;75;0
2705.27;1;144;1
2708.17;4;118;0
2718.18;3;105;0
2721.27;5;75;1
2728.22;3;105;0
2733.3;4;118;1
2738.08;0;152;0
2743.35;4;118;1
2748.27;0;152;0
2753.69;3;105;1
2763.36;2;98;1
2780.27;1;41;0
2786.39;0;152;1
2790.23;1;41;0
2796.59;0;152;1
2800.29;3;105;0
2806.65;0;152;1
2810.32;4;118;0
2816.43;0;152;1
2820.32;2;98;0
2826.56;0;152;1
2830.36;2;98;0
2836.59;0;152;1
2846.58;0;152;1
2856.35;5;31;1
2866.69;5;31;1
2871.66;0;152;0
2877.1;3;105;1
2886.86;4;118;1
2897.15;2;98;1
2905.94;5;31;0
2906.86;2;98;1
2916.16;5;31;0
2917.04;2;98;1
2926.05;3;105;0
2927.04;2;98;1
2936.2;3;105;0
2937.19;1;154;1
2946.52;4;118;0
2947.27;0;152;1
2956.44;2;98;0
2957.54;0;152;1
2966.56;2;98;0
2967.63;5;31;1
2976.31;2;98;0
2977.39;3;105;1
2986.56;2;98;0
2987.72;4;118;1
2996.47;2;98;0
2997.92;4;118;1
3006.43;2;98;0
3016.43;1;154;0
3026.7;0;152;0
3037.12;3;105;0
3077.14;2;164;1
3101.83;2;164;0
3109.34;4;113;1
3114.24;0;88;0
3119.48;4;113;1
3124.24;0;88;0
3129.17;4;113;1
3134.41;0;88;0
3139.32;4;113;1
3144.24;1;50;0
3149.52;5;137;1
3159.56;5;137;1
3161.98;3;60;0
3169.66;0;88;1
3172.38;4;113;0
3179.71;1;50;1
3184.06;5;137;0
3189.56;1;50;1
3194.13;5;137;0
3199.7;3;60;1
3203.96;2;8;0
3209.63;3;60;1
3214.02;2;8;0
3219.75;4;113;1
3224.31;0;88;0
3229.47;4;113;1
3234.35;1;50;0
3239.66;5;137;1
3248.12;3;60;0
3249.39;2;8;1
3258.38;3;60;0
3261.05;0;88;1
3268.47;3;60;0
3271.1;0;88;1
3292.57;3;60;1
3294.5;0;88;0
3302.58;3;60;1
3320.9;5;169;1
3323.39;1;18;0
3333.42;1;18;0
3343.27;3;60;0
3353.32;4;154;0
3356.67;1;18;1
3363.25;4;154;0
3366.94;1;18;1
3373.48;5;169;0
3376.91;3;60;1
3383.55;2;110;0
3387.22;4;154;1
3398.42;5;169;1
3408.26;0;118;1
3422.9;5;169;0
3436.32;0;118;0
3446.35;1;159;0
3460.48;3;35;0
3470.61;3;35;0
3470.79;1;159;1
3480.77;1;159;1
3495.09;3;35;1
3505;4;36;1
3505.16;1;159;0
3515.04;4;36;1
3519.3;3;35;0
3525.02;2;105;1
3529.63;3;35;0
3535.18;0;45;1
3540;3;35;0
3545.36;5;23;1
3549.99;3;35;0
3555.4;1;159;1
3560;3;35;0
3565.7;1;159;1
3569.67;4;36;0
3580;2;105;0
3582.53;3;35;1
3590.05;0;45;0
3592.84;3;35;1
3600.42;0;45;0
3602.76;3;35;1
3610.06;5;23;0
3612.48;3;35;1
3620.42;5;23;0
3622.68;4;36;1
3630.2;1;159;0
3632.88;2;105;1
3640.46;3;35;0
3678.13;0;138;0
3706.85;2;63;1
3722.42;1;91;1
3730.73;2;63;0
3732.16;5;147;1
3753.32;3;52;0
3767.59;0;77;0
3778.25;3;52;1
3797.06;5;138;0
3805.45;1;108;1
3807.39;5;138;0
