#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
3688.51;0;75.62;75.58;-Infinity
3742.51;1;95.63;95.63;-Infinity
3777.76;0;70.33;70.33;-Infinity
3835.34;1;87.61;87.6;-Infinity
3837.45;0;96.23;96.2;-Infinity
3862.24;1;65.58;65.58;-Infinity
3882.44;0;88.41;88.41;-Infinity
3926.63;1;76.98;76.98;-Infinity
3954.01;1;87.1;87.1;-Infinity
3980.16;0;147.2;147.2;-Infinity
4010.54;0;135.37;135.37;-Infinity
4014.23;1;107.83;107.83;-Infinity
4020.94;0;136.76;136.72;-Infinity
4024.61;1;71.81;71.81;-Infinity
4056.8;1;47.9;47.9;-Infinity
4115.51;0;133.89;133.89;-Infinity
4136.51;0;85.45;85.45;-Infinity
4255.1;1;119;119;-Infinity
4273.94;0;104.91;104.88;-Infinity
4284.14;0;103.89;103.89;-Infinity
4346.06;1;76.5;76.5;-Infinity
4381.17;0;90.08;90.08;-Infinity
4411.28;0;76.61;76.58;-Infinity
4421.7;0;107.29;107.28;-Infinity
4447.22;1;126.72;126.72;-Infinity
4457.4;1;112.56;112.56;-Infinity
4487.58;1;138.34;138.3;-Infinity
4508.08;1;144.67;144.65;-Infinity
4516.08;0;100.96;100.96;-Infinity
4526.09;0;92.61;92.61;-Infinity
4543.79;1;79.6;79.6;-Infinity
4556.65;0;202.4;202.37;-Infinity
4566.78;0;111.42;111.42;-Infinity
4593.61;1;103.14;103.14;-Infinity
4623.39;0;128.07;128.07;-Infinity
4637.94;1;143.42;143.42;-Infinity
4666.79;0;120.78;120.74;-Infinity
4668.37;1;170.85;170.85;-Infinity
4676.76;0;126.73;126.73;-Infinity
4701.45;1;189.53;189.53;-Infinity
4727.35;0;110.75;110.75;-Infinity
4743.99;1;116.82;116.81;-Infinity
4757.54;0;133.73;133.73;-Infinity
4767.66;0;87.98;87.98;-Infinity
4796.81;1;131.35;131.35;-Infinity
4862.22;0;98.65;98.65;-Infinity
4865.61;1;78.58;78.58;-Infinity
4873.85;0;94.78;94.78;-Infinity
