#TimeStamp;BotsQueueing;TaskBotCounts
4139.61;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
4199.97;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4259.61;2;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/2,Rest/0
4319.86;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4379.91;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4439.96;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4499.91;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4559.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4619.67;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4679.98;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4739.83;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
4799.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4859.81;1;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/1,Rest/0
4919.78;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
4979.78;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
5039.85;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
5099.65;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
5159.69;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
5219.93;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
5279.64;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
5339.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
