Tag;Instance;Setting;Config;Seed;Timestamp
n.a.;1-1-2-6-0.85.xlayo;Letter-Fixed-600.xsett;PPFAR-TAShortestDistance-SAConstantRatio-ISEmptiest-PSFixed-RPDummy-OBDefault-RBSamePod-MMNoChange.xconf;2;20190218-115248
n.a.;1-1-2-6-0.85.xlayo;Letter-Fixed-600.xsett;PPFAR-TAShortestDistance-SAConstantRatio-ISEmptiest-PSFixed-RPDummy-OBDefault-RBSamePod-MMNoChange.xconf;2;20190218-140341
