#TimeStamp;BotsQueueing;TaskBotCounts
4139.65;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4199.8;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4259.77;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
4319.91;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
4379.66;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
4439.89;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
4499.83;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
4559.81;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
4619.98;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
4679.82;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
4739.85;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4799.85;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4859.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4919.8;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
4979.97;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
5039.63;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
5099.98;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
5160;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
5219.83;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
5279.63;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
5339.94;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5399.84;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
5459.96;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5519.75;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5579.7;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5639.73;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5699.75;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
5759.79;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5819.65;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
5879.74;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/2,Rest/3
5939.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/2,Rest/4
5999.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/5
6059.59;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6119.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6179.82;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6239.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6299.83;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6359.83;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6419.83;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6479.63;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6539.92;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6599.85;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6659.92;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6719.89;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6779.83;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6839.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6899.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6959.6;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
7019.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
7079.92;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
7140;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
7199.73;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
