#TimeStamp;Bot;Pod;OutputStation
1866.53;4;49;0
1876.7;4;49;0
1886.97;4;49;0
1897.31;4;49;0
1907.39;4;49;0
1917.63;4;49;0
1927.6;0;45;0
1937.85;0;45;0
1940.85;4;49;1
1948.18;0;45;0
1950.75;4;49;1
1958.61;0;45;0
1960.84;4;49;1
1968.83;0;45;0
1970.7;4;49;1
1978.78;0;45;0
1980.84;4;49;1
1988.96;0;45;0
1990.71;4;49;1
1998.66;0;45;0
2000.84;4;49;1
2008.74;0;45;0
2010.89;4;49;1
2018.66;0;45;0
2021.31;4;49;1
2028.66;0;45;0
2031.55;4;49;1
2038.66;0;45;0
2041.48;4;49;1
2048.85;0;45;0
2051.47;4;49;1
2058.85;0;45;0
2061.73;4;49;1
2068.96;0;45;0
2072.03;4;49;1
2079;0;45;0
2082.05;4;49;1
2089.02;0;45;0
2092.07;4;49;1
2099.04;0;45;0
2102.08;4;49;1
2109.06;0;45;0
2112.1;4;49;1
2119.12;0;45;0
2122.11;4;49;1
2129.54;0;45;0
2132.06;4;49;1
2139.96;0;45;0
2142.15;4;49;1
2149.81;0;45;0
2160;0;45;0
2169.71;0;45;0
2180;0;45;0
2189.66;0;45;0
2200;2;95;0
2209.9;2;95;0
2213.04;0;45;1
2220;2;95;0
2223.09;0;45;1
2230.02;2;95;0
2233.11;0;45;1
2240.01;2;95;0
2243.11;0;45;1
2250.06;2;95;0
2253.48;0;45;1
2260.17;2;95;0
2263.48;0;45;1
2270.46;2;95;0
2273.5;0;45;1
2280.42;2;95;0
2283.5;0;45;1
2290.35;2;95;0
2293.5;0;45;1
2300.19;3;58;0
2310.35;3;58;0
2320.21;3;58;0
2330.12;3;58;0
2340.44;3;58;0
2350.54;3;58;0
2360.93;1;157;0
2363.22;2;149;1
2370.76;1;157;0
2373.55;2;149;1
2380.84;1;157;0
2383.97;2;149;1
2390.97;1;157;0
2394.02;2;149;1
2400.97;1;157;0
2404.39;3;58;1
2411.05;5;64;0
2414.39;3;58;1
2420.98;5;64;0
2424.39;3;58;1
2431.41;5;64;0
2434.13;3;58;1
2441.68;5;64;0
2444.2;3;58;1
2451.83;5;64;0
2454.18;3;58;1
2461.87;0;45;0
2472.22;0;45;0
2474.93;5;64;1
2481.9;2;149;0
2485.01;5;64;1
2492.02;2;149;0
2502.08;2;149;0
2512.29;2;149;0
2520;4;151;1
2522.39;2;149;0
2529.69;4;151;1
2532.36;2;149;0
2540;4;151;1
2542.32;2;149;0
2550.04;4;151;1
2552.56;3;58;0
2560.46;4;151;1
2562.65;3;58;0
2570.67;4;151;1
2572.35;3;58;0
2581.1;4;151;1
2582.6;5;64;0
2590.99;4;151;1
2592.51;5;64;0
2601.25;4;151;1
2602.7;5;64;0
2611.46;4;151;1
2621.67;4;151;1
2631.71;4;151;1
2641.68;4;151;1
2652.06;4;151;1
2661.75;4;151;1
2671.84;4;151;1
2681.91;4;151;1
2691.74;4;151;1
2701.74;4;151;1
2711.86;2;149;1
2721.72;2;149;1
2731.86;3;58;1
2741.93;3;58;1
2752.11;3;58;1
2762.45;3;58;1
2772.37;5;64;1
2780.42;2;162;0
2782.5;5;64;1
2790.65;2;162;0
2792.54;5;64;1
2800.42;2;162;0
2802.54;5;64;1
2810.74;2;162;0
2812.96;5;64;1
2820.63;2;162;0
2823.38;5;64;1
2830.68;2;162;0
2833.5;5;64;1
2840.79;2;162;0
2843.31;5;64;1
2850.87;2;162;0
2853.31;5;64;1
2861.18;2;162;0
2863.2;5;64;1
2871.26;2;162;0
2873.36;5;64;1
2883.21;5;64;1
2885.54;3;53;0
2893.56;5;64;1
2895.58;3;53;0
2903.6;5;64;1
2905.79;3;53;0
2913.54;0;135;1
2916.21;3;53;0
2923.64;0;135;1
2926.5;3;53;0
2934.06;0;135;1
2936.92;3;53;0
2944.48;0;135;1
2947.19;3;53;0
2954.9;0;135;1
2957.42;3;53;0
2965.32;0;135;1
2967.42;3;53;0
2975.74;0;135;1
2977.42;3;53;0
2985.75;0;135;1
2987.52;3;53;0
2995.8;0;135;1
2997.42;3;53;0
3006.2;0;135;1
3007.46;3;53;0
3016.22;0;135;1
3017.46;3;53;0
3026.38;0;135;1
3027.46;3;53;0
3036.6;0;135;1
3037.48;3;53;0
3046.51;0;135;1
3047.48;3;53;0
3056.27;0;135;1
3057.48;3;53;0
3066.32;0;135;1
3067.53;3;53;0
3076.52;0;135;1
3077.61;5;64;0
3086.28;0;135;1
3087.69;5;64;0
3096.58;0;135;1
3097.9;5;64;0
3106.35;0;135;1
3107.9;5;64;0
3116.62;4;54;1
3118.11;5;64;0
3126.41;4;54;1
3128.46;5;64;0
3136.66;4;54;1
3138.34;5;64;0
3146.82;2;162;1
3148.39;5;64;0
3157.02;2;162;1
3158.34;5;64;0
3167.08;2;162;1
3168.12;5;64;0
3177.23;2;162;1
3178.29;5;64;0
3187.43;2;162;1
3188.31;0;135;0
3197.47;2;162;1
3198.55;0;135;0
3207.68;2;162;1
3208.97;4;54;0
3217.84;3;53;1
3219.24;4;54;0
3227.88;3;53;1
3229.66;4;54;0
3237.56;3;53;1
3239.99;4;54;0
3247.81;3;53;1
3250.04;4;54;0
3257.53;3;53;1
3260.42;4;54;0
3267.85;3;53;1
3270.36;4;54;0
3277.86;3;53;1
3280.42;2;162;0
3287.61;0;135;1
3290.28;2;162;0
3297.93;0;135;1
3300.42;2;162;0
3308.13;0;135;1
3310.35;2;162;0
3318.28;0;135;1
3320.42;2;162;0
3328.29;0;135;1
3330.16;2;162;0
3338.28;0;135;1
3340.28;2;162;0
3347.93;0;135;1
3350.39;2;162;0
3358.33;0;135;1
3360.42;2;162;0
3368.24;0;135;1
3378.1;0;135;1
3387.97;1;99;1
3398.09;1;99;1
3401.84;0;135;0
3408.38;1;99;1
3412.05;0;135;0
3418.26;1;99;1
3422.17;4;60;0
3428.55;1;99;1
3432.19;4;60;0
3438.73;1;99;1
3449.12;1;99;1
3459.16;2;162;1
3469.2;2;162;1
3472.4;1;99;0
3479.62;0;135;1
3482.2;1;99;0
3489.56;0;135;1
3499.56;4;60;1
3509.61;4;60;1
3513.15;0;135;0
3519.55;4;60;1
3522.99;0;135;0
3561.33;1;83;1
3571.43;1;83;1
3581.47;1;83;1
3591.62;1;83;1
3601.26;4;126;0
3602.04;1;83;1
3611.42;4;126;0
3612.46;1;83;1
3621.54;4;126;0
3622.88;1;83;1
3631.54;4;126;0
3633.3;1;83;1
3641.96;4;126;0
3643.72;1;83;1
3652.2;4;126;0
3653.94;1;83;1
3662.11;4;126;0
3663.94;1;83;1
3672.26;4;126;0
3673.94;1;83;1
3682.68;0;35;0
3683.94;1;83;1
3693.1;0;35;0
3694.14;1;83;1
3703.52;0;35;0
3704.36;1;83;1
3714.36;1;83;1
3724.49;1;83;1
3734.32;1;83;1
3744.28;1;83;1
3754.35;1;83;1
3764.17;1;83;1
3774.34;1;83;1
3784.52;2;34;1
3794.53;2;34;1
3798.02;1;83;0
3804.21;2;34;1
3808.04;1;83;0
3814.27;2;34;1
3818.04;1;83;0
3824.27;2;34;1
3828.04;1;83;0
3834.26;3;127;1
3837.89;1;83;0
3844.57;3;127;1
3848.04;1;83;0
3854.94;3;127;1
3858.08;1;83;0
3864.99;3;127;1
3868.36;1;83;0
3875.32;3;127;1
3878.49;1;83;0
3885.36;3;127;1
3888.19;1;83;0
3895.6;3;127;1
3898.36;1;83;0
3905.56;3;127;1
3908.21;1;83;0
3915.56;3;127;1
3918.21;1;83;0
3925.37;3;127;1
3928.21;1;83;0
3935.56;3;127;1
3938.21;1;83;0
3945.48;4;126;1
3948.52;2;34;0
3955.57;4;126;1
3958.23;2;34;0
3965.29;4;126;1
3968.57;2;34;0
3975.37;4;126;1
3978.59;2;34;0
3985.5;0;35;1
3988.65;2;34;0
3995.38;0;35;1
3998.69;5;62;0
4005.42;0;35;1
4008.69;5;62;0
4015.42;0;35;1
4019.11;5;62;0
4025.46;0;35;1
4029.53;5;62;0
4035.65;0;35;1
4039.97;5;62;0
4046.07;0;35;1
4050.02;5;62;0
4056.19;1;83;1
4060;5;62;0
4066.45;1;83;1
4070.06;5;62;0
4076.36;1;83;1
4080.48;5;62;0
4086.37;1;83;1
4090.8;5;62;0
4096.37;1;83;1
4100.9;5;62;0
4106.3;1;83;1
4111.32;3;127;0
4116.4;2;136;1
4121.54;4;126;0
4126.53;2;136;1
4131.27;4;126;0
4136.59;2;136;1
4141.53;0;35;0
4147.01;2;136;1
4151.42;0;35;0
4157.1;2;136;1
4161.51;0;35;0
4167.47;2;136;1
4171.45;0;35;0
4177.52;5;62;1
4181.4;0;35;0
4187.89;5;62;1
4191.4;0;35;0
4197.94;4;126;1
4201.42;0;35;0
4207.94;4;126;1
4211.59;0;35;0
4217.83;4;126;1
4221.57;0;35;0
4228.11;4;126;1
4231.57;0;35;0
4238.35;4;126;1
4241.57;0;35;0
4248.33;4;126;1
4251.57;1;83;0
4258.35;4;126;1
4261.57;1;83;0
4268.5;4;126;1
4271.57;1;83;0
4278.19;3;49;1
4281.59;1;83;0
4288.26;3;49;1
4291.63;1;83;0
4298.19;3;49;1
4301.93;1;83;0
4308.43;3;49;1
4312.05;1;83;0
4318.33;3;49;1
4322.05;1;83;0
4328.54;3;49;1
4332.01;1;83;0
4338.96;3;49;1
4342.08;1;83;0
4352.08;1;83;0
4362.03;1;83;0
4372.2;5;62;0
4382.35;5;62;0
4385.82;1;83;1
4392.77;5;62;0
4396;1;83;1
4403.19;5;62;0
4405.71;1;83;1
4413.61;5;62;0
4415.81;1;83;1
4424.03;5;62;0
4425.71;1;83;1
4434.41;5;62;0
4444.06;5;62;0
4454.47;5;62;0
4464.77;5;62;0
4474.74;5;62;0
4484.92;4;126;0
4495.25;4;126;0
4498.08;5;62;1
4505.15;4;126;0
4508.22;5;62;1
4515.28;4;126;0
4518.19;5;62;1
4525.44;4;126;0
4528.25;5;62;1
4535.52;4;126;0
4538.55;5;62;1
4545.22;4;126;0
4555.35;4;126;0
4565.3;4;126;0
4575.47;4;126;0
4579.2;1;169;1
4585.48;3;49;0
4589.33;1;169;1
4595.44;3;49;0
4599.52;1;169;1
4605.24;3;49;0
4609.56;1;169;1
4615.44;3;49;0
4619.98;1;169;1
4625.37;3;49;0
4630.02;1;169;1
4635.56;5;62;0
4640.42;1;169;1
4645.5;5;62;0
4650.23;1;169;1
4655.9;5;62;0
4660.46;1;169;1
4666.23;5;62;0
4670.85;4;126;1
4676.31;5;62;0
4680.56;4;126;1
4685.94;5;62;0
4690.66;4;126;1
4696.36;5;62;0
4700.84;4;126;1
4706.36;5;62;0
4710.61;4;126;1
4716.49;5;62;0
4720.84;4;126;1
4726.75;5;62;0
4730.73;0;69;1
4737.17;5;62;0
4740.89;3;49;1
4747.38;5;62;0
4755.71;2;20;1
4757.44;5;62;0
4765.58;2;20;1
4767.59;5;62;0
4775.58;2;20;1
4778.01;5;62;0
4785.58;2;20;1
4788.43;5;62;0
4795.76;2;20;1
4798.64;5;62;0
4806.18;2;20;1
4808.76;5;62;0
4816.47;2;20;1
4818.7;5;62;0
4826.51;2;20;1
4828.7;5;62;0
4836.6;2;20;1
4838.7;5;62;0
4846.93;2;20;1
4848.7;5;62;0
4856.75;2;20;1
4858.7;5;62;0
4866.93;2;20;1
4868.7;5;62;0
4877.02;2;20;1
4878.57;1;169;0
4887.45;2;20;1
4888.74;1;169;0
4897.2;2;20;1
4898.66;1;169;0
4907.6;2;20;1
4908.91;1;169;0
4917.62;2;20;1
4918.66;1;169;0
4928.61;1;169;0
4938.67;4;126;0
4948.96;4;126;0
4951.5;1;169;1
4958.76;0;69;0
4961.83;1;169;1
4969;0;69;0
4971.87;1;169;1
4978.86;0;69;0
4982.06;1;169;1
4989.09;0;69;0
4992.12;1;169;1
4999.09;0;69;0
5002.19;1;169;1
5008.89;0;69;0
5012.55;1;169;1
5019.16;0;69;0
5022.58;1;169;1
5029.58;0;69;0
5032.62;1;169;1
5039.63;0;69;0
5042.52;1;169;1
5049.59;0;69;0
5052.52;1;169;1
5060;0;69;0
5062.66;1;169;1
5070.01;0;69;0
5072.72;1;169;1
5080.42;3;49;0
5082.8;1;169;1
5090.84;3;49;0
5092.7;5;11;1
5103.06;5;11;1
5106.57;1;169;0
5113.12;5;11;1
5116.58;1;169;0
5123.4;4;42;1
5126.58;1;169;0
5133.54;4;42;1
5136.66;1;169;0
5143.64;4;42;1
5153.73;4;42;1
5164.06;4;42;1
5174.33;4;42;1
5184.75;4;42;1
5195.17;0;69;1
5205.56;3;49;1
5215.5;3;49;1
5219.07;0;69;0
5225.42;1;169;1
5228.82;0;69;0
5235.47;1;169;1
5239.12;0;69;0
5245.25;2;40;1
5249.07;0;69;0
