#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
1679.95;0;31;0;2;0/1679.95;0/243.68,1/356.99;0/0;0/1679.95,1/1679.95;0/0;0/13,1/7;0/0;0/20,1/7;0/0;0/0,1/0;0/0;0/16,1/15;0/0;0/147,1/135
1739.95;0;34;0;2;0/1739.95;0/245.7,1/407.32;0/0;0/1739.95,1/1739.95;0/0;0/12,1/9;0/0;0/23,1/13;0/0;0/0,1/0;0/0;0/18,1/16;0/0;0/153,1/136
1799.8;0;35;0;2;0/1799.8;0/247.91,1/427.54;0/0;0/1799.8,1/1799.8;0/0;0/16,1/12;0/0;0/32,1/12;0/0;0/0,1/0;0/0;0/18,1/17;0/0;0/159,1/140
1859.97;0;37;0;2;0/1859.97;0/249.89,1/478.04;0/0;0/1859.97,1/1859.97;0/0;0/16,1/21;0/0;0/38,1/21;0/0;0/0,1/0;0/0;0/19,1/18;0/0;0/165,1/141
1919.65;0;37;0;2;0/1919.65;0/252.01,1/537.72;0/0;0/1919.65,1/1919.65;0/0;0/20,1/21;0/0;0/41,1/21;0/0;0/0,1/0;0/0;0/19,1/18;0/0;0/171,1/141
1979.87;0;39;0;2;0/1979.87;0/254.29,1/559.34;0/0;0/1979.87,1/1979.87;0/0;0/11,1/8;0/0;0/44,1/17;0/0;0/0,1/0;0/0;0/20,1/19;0/0;0/177,1/145
2039.97;0;39;0;2;0/2039.97;0/256.13,1/560.76;0/0;0/2039.97,1/2039.97;0/0;0/6,1/14;0/0;0/38,1/17;0/0;0/0,1/0;0/0;0/20,1/19;0/0;0/183,1/151
2099.92;0;39;0;2;0/2099.92;0/256.7,1/561.8;0/0;0/2099.92,1/2099.92;0/0;0/6,1/13;0/0;0/32,1/18;0/0;0/0,1/0;0/0;0/20,1/19;0/0;0/189,1/157
2159.8;0;39;0;2;0/2159.8;0/257.96,1/569.91;0/0;0/2159.8,1/2159.8;0/0;0/11,1/18;0/0;0/37,1/18;0/0;0/0,1/0;0/0;0/20,1/19;0/0;0/194,1/162
2219.76;0;41;0;2;0/2219.76;0/258.96,1/623.2;0/0;0/2219.76,1/2219.76;0/0;0/11,1/12;0/0;0/31,1/17;0/0;0/0,1/0;0/0;0/21,1/20;0/0;0/200,1/163
2279.64;0;41;0;2;0/2279.64;0/259.92,1/624.61;0/0;0/2279.64,1/2279.64;0/0;0/13,1/12;0/0;0/31,1/14;0/0;0/0,1/0;0/0;0/21,1/20;0/0;0/206,1/169
2339.97;0;42;0;2;0/2339.97;0/261.3,1/661.17;0/0;0/2339.97,1/2339.97;0/0;0/11,1/11;0/0;0/25,1/15;0/0;0/0,1/0;0/0;0/22,1/20;0/0;0/212,1/171
2399.94;0;44;0;2;0/2399.94;0/262.87,1/685.94;0/0;0/2399.94,1/2399.94;0/0;0/16,1/17;0/0;0/29,1/19;0/0;0/0,1/0;0/0;0/23,1/21;0/0;0/218,1/175
2459.87;0;46;0;2;0/2459.87;0/265.11,1/687.04;0/0;0/2459.87,1/2459.87;0/0;0/21,1/5;0/0;0/30,1/17;0/0;0/0,1/0;0/0;0/24,1/22;0/0;0/224,1/181
2519.73;0;49;0;2;0/2519.73;0/267.51,1/722.78;0/0;0/2519.73,1/2519.73;0/0;0/24,1/11;0/0;0/30,1/21;0/0;0/0,1/0;0/0;0/26,1/23;0/0;0/230,1/183
2579.94;0;51;0;2;0/2579.94;0/269.15,1/725.57;0/0;0/2579.94,1/2579.94;0/0;0/21,1/14;0/0;0/24,1/24;0/0;0/0,1/0;0/0;0/27,1/24;0/0;0/236,1/189
2639.78;0;52;0;2;0/2639.78;0/296.74,1/727.71;0/0;0/2639.78,1/2639.78;0/0;0/21,1/10;0/0;0/21,1/28;0/0;0/0,1/0;0/0;0/28,1/24;0/0;0/239,1/195
2699.7;0;52;0;2;0/2699.7;0/356.65,1/729.33;0/0;0/2699.7,1/2699.7;0/0;0/21,1/1;0/0;0/21,1/22;0/0;0/0,1/0;0/0;0/28,1/24;0/0;0/239,1/201
2759.91;0;54;0;2;0/2759.91;0/416.86,1/731.18;0/0;0/2759.91,1/2759.91;0/0;0/11,1/7;0/0;0/21,1/22;0/0;0/0,1/0;0/0;0/28,1/26;0/0;0/239,1/207
2819.59;0;56;0;2;0/2819.59;0/438.26,1/733.07;0/0;0/2819.59,1/2819.59;0/0;0/11,1/7;0/0;0/17,1/28;0/0;0/0,1/0;0/0;0/29,1/27;0/0;0/243,1/213
2879.74;0;56;0;2;0/2879.74;0/440.1,1/735.06;0/0;0/2879.74,1/2879.74;0/0;0/12,1/4;0/0;0/20,1/26;0/0;0/0,1/0;0/0;0/29,1/27;0/0;0/249,1/219
2939.95;0;58;0;2;0/2939.95;0/447.05,1/737.05;0/0;0/2939.95,1/2939.95;0/0;0/23,1/12;0/0;0/30,1/28;0/0;0/0,1/0;0/0;0/30,1/28;0/0;0/255,1/225
2999.63;0;58;0;2;0/2999.63;0/448.47,1/740.62;0/0;0/2999.63,1/2999.63;0/0;0/15,1/14;0/0;0/27,1/35;0/0;0/0,1/0;0/0;0/30,1/28;0/0;0/261,1/231
3059.69;0;58;0;2;0/3059.69;0/449.33,1/742.28;0/0;0/3059.69,1/3059.69;0/0;0/15,1/17;0/0;0/21,1/32;0/0;0/0,1/0;0/0;0/30,1/28;0/0;0/267,1/237
3119.7;0;60;0;2;0/3119.7;0/451.12,1/743.49;0/0;0/3119.7,1/3119.7;0/0;0/19,1/14;0/0;0/21,1/26;0/0;0/0,1/0;0/0;0/31,1/29;0/0;0/273,1/243
3179.79;0;61;0;2;0/3179.79;0/452.37,1/745.73;0/0;0/3179.79,1/3179.79;0/0;0/6,1/20;0/0;0/15,1/26;0/0;0/0,1/0;0/0;0/31,1/30;0/0;0/279,1/249
3239.99;0;64;0;2;0/3239.99;0/454.35,1/746.94;0/0;0/3239.99,1/3239.99;0/0;0/20,1/12;0/0;0/25,1/23;0/0;0/0,1/0;0/0;0/33,1/31;0/0;0/284,1/255
3299.75;0;66;0;2;0/3299.75;0/455.51,1/748.49;0/0;0/3299.75,1/3299.75;0/0;0/18,1/14;0/0;0/25,1/23;0/0;0/0,1/0;0/0;0/34,1/32;0/0;0/290,1/261
3359.63;0;66;0;2;0/3359.63;0/456.28,1/749.33;0/0;0/3359.63,1/3359.63;0/0;0/16,1/11;0/0;0/19,1/20;0/0;0/0,1/0;0/0;0/34,1/32;0/0;0/296,1/267
3419.81;0;68;0;2;0/3419.81;0/488.57,1/751.04;0/0;0/3419.81,1/3419.81;0/0;0/14,1/10;0/0;0/16,1/17;0/0;0/0,1/0;0/0;0/35,1/33;0/0;0/299,1/273
3479.66;0;72;0;2;0/3479.66;0/519.48,1/753.01;0/0;0/3479.66,1/3479.66;0/0;0/14,1/20;0/0;0/15,1/24;0/0;0/0,1/0;0/0;0/37,1/35;0/0;0/302,1/279
3539.77;0;74;0;2;0/3539.77;0/547.61,1/763.65;0/0;0/3539.77,1/3539.77;0/0;0/8,1/6;0/0;0/16,1/24;0/0;0/0,1/0;0/0;0/38,1/36;0/0;0/305,1/283
3599.73;0;75;0;2;0/3599.73;0/607.58,1/786.57;0/0;0/3599.73,1/3599.73;0/0;0/5,1/10;0/0;0/16,1/24;0/0;0/0,1/0;0/0;0/38,1/37;0/0;0/305,1/287
3659.81;0;76;0;2;0/3659.81;0/611.08,1/789.44;0/0;0/3659.81,1/3659.81;0/0;0/12,1/13;0/0;0/17,1/35;0/0;0/0,1/0;0/0;0/39,1/37;0/0;0/311,1/293
3719.87;0;77;0;2;0/3719.87;0/620.33,1/791.04;0/0;0/3719.87,1/3719.87;0/0;0/29,1/10;0/0;0/29,1/35;0/0;0/0,1/0;0/0;0/40,1/37;0/0;0/316,1/299
3779.85;0;77;0;2;0/3779.85;0/680.32,1/792.42;0/0;0/3779.85,1/3779.85;0/0;0/14,1/10;0/0;0/29,1/29;0/0;0/0,1/0;0/0;0/40,1/37;0/0;0/316,1/305
3839.76;0;80;0;2;0/3839.76;0/698.87,1/793.8;0/0;0/3839.76,1/3839.76;0/0;0/9,1/10;0/0;0/24,1/23;0/0;0/0,1/0;0/0;0/41,1/39;0/0;0/321,1/311
3899.88;0;80;0;2;0/3899.88;0/700.07,1/796.09;0/0;0/3899.88,1/3899.88;0/0;0/1,1/16;0/0;0/21,1/29;0/0;0/0,1/0;0/0;0/41,1/39;0/0;0/327,1/317
3959.85;0;82;0;2;0/3959.85;0/701.71,1/796.89;0/0;0/3959.85,1/3959.85;0/0;0/0,1/11;0/0;0/15,1/23;0/0;0/0,1/0;0/0;0/42,1/40;0/0;0/333,1/323
4019.95;0;84;0;2;0/4019.95;0/704.08,1/798.4;0/0;0/4019.95,1/4019.95;0/0;0/13,1/11;0/0;0/24,1/17;0/0;0/0,1/0;0/0;0/43,1/41;0/0;0/339,1/329
4079.96;0;85;0;2;0/4079.96;0/705.7,1/800.19;0/0;0/4079.96,1/4079.96;0/0;0/14,1/9;0/0;0/31,1/18;0/0;0/0,1/0;0/0;0/43,1/42;0/0;0/344,1/335
4139.65;0;89;0;2;0/4139.65;0/707.73,1/801.59;0/0;0/4139.65,1/4139.65;0/0;0/14,1/10;0/0;0/37,1/18;0/0;0/0,1/0;0/0;0/46,1/43;0/0;0/350,1/341
4199.8;0;91;0;2;0/4199.8;0/708.55,1/803.48;0/0;0/4199.8,1/4199.8;0/0;0/3,1/15;0/0;0/31,1/24;0/0;0/0,1/0;0/0;0/46,1/45;0/0;0/356,1/347
4259.77;0;92;0;2;0/4259.77;0/709,1/805.18;0/0;0/4259.77,1/4259.77;0/0;0/3,1/13;0/0;0/25,1/21;0/0;0/0,1/0;0/0;0/47,1/45;0/0;0/362,1/353
4319.91;0;93;0;2;0/4319.91;0/710.56,1/806.56;0/0;0/4319.91,1/4319.91;0/0;0/9,1/13;0/0;0/26,1/15;0/0;0/0,1/0;0/0;0/47,1/46;0/0;0/368,1/359
4379.66;0;94;0;2;0/4379.66;0/712.22,1/838.23;0/0;0/4379.66,1/4379.66;0/0;0/8,1/19;0/0;0/20,1/24;0/0;0/0,1/0;0/0;0/48,1/46;0/0;0/374,1/361
4439.89;0;95;0;2;0/4439.89;0/715.41,1/849.68;0/0;0/4439.89,1/4439.89;0/0;0/24,1/19;0/0;0/30,1/19;0/0;0/0,1/0;0/0;0/48,1/47;0/0;0/380,1/366
4499.83;0;97;0;2;0/4499.83;0/717.26,1/908.01;0/0;0/4499.83,1/4499.83;0/0;0/24,1/14;0/0;0/33,1/18;0/0;0/0,1/0;0/0;0/49,1/48;0/0;0/386,1/367
4559.81;0;97;0;2;0/4559.81;0/718.63,1/920.71;0/0;0/4559.81,1/4559.81;0/0;0/7,1/11;0/0;0/27,1/20;0/0;0/0,1/0;0/0;0/49,1/48;0/0;0/392,1/371
4619.98;0;99;0;2;0/4619.98;0/719.63,1/941.31;0/0;0/4619.98,1/4619.98;0/0;0/3,1/14;0/0;0/21,1/22;0/0;0/0,1/0;0/0;0/50,1/49;0/0;0/398,1/375
4679.82;0;101;0;2;0/4679.82;0/721.43,1/942.84;0/0;0/4679.82,1/4679.82;0/0;0/7,1/19;0/0;0/21,1/22;0/0;0/0,1/0;0/0;0/51,1/50;0/0;0/404,1/381
4739.85;0;103;0;2;0/4739.85;0/724.48,1/943.96;0/0;0/4739.85,1/4739.85;0/0;0/12,1/10;0/0;0/24,1/16;0/0;0/0,1/0;0/0;0/51,1/52;0/0;0/410,1/387
4799.85;0;104;0;2;0/4799.85;0/726.75,1/950.47;0/0;0/4799.85,1/4799.85;0/0;0/20,1/11;0/0;0/28,1/15;0/0;0/0,1/0;0/0;0/51,1/53;0/0;0/416,1/393
4859.86;0;104;0;2;0/4859.86;0/728.3,1/952.24;0/0;0/4859.86,1/4859.86;0/0;0/16,1/11;0/0;0/25,1/13;0/0;0/0,1/0;0/0;0/51,1/53;0/0;0/422,1/399
4919.8;0;105;0;2;0/4919.8;0/729.8,1/953.84;0/0;0/4919.8,1/4919.8;0/0;0/12,1/14;0/0;0/19,1/14;0/0;0/0,1/0;0/0;0/52,1/53;0/0;0/428,1/405
4979.97;0;108;0;2;0/4979.97;0/731.78,1/978.85;0/0;0/4979.97,1/4979.97;0/0;0/5,1/15;0/0;0/16,1/19;0/0;0/0,1/0;0/0;0/54,1/54;0/0;0/434,1/408
5039.63;0;108;0;2;0/5039.63;0/733.51,1/979.62;0/0;0/5039.63,1/5039.63;0/0;0/15,1/6;0/0;0/21,1/19;0/0;0/0,1/0;0/0;0/54,1/54;0/0;0/439,1/414
5099.98;0;110;0;2;0/5099.98;0/736.86,1/981.69;0/0;0/5099.98,1/5099.98;0/0;0/20,1/4;0/0;0/24,1/16;0/0;0/0,1/0;0/0;0/55,1/55;0/0;0/445,1/420
5160;0;112;0;2;0/5160;0/756.25,1/983.63;0/0;0/5160,1/5160;0/0;0/23,1/7;0/0;0/23,1/20;0/0;0/0,1/0;0/0;0/56,1/56;0/0;0/449,1/426
5219.83;0;115;0;2;0/5219.83;0/815.41,1/986.48;0/0;0/5219.83,1/5219.83;0/0;0/13,1/22;0/0;0/22,1/29;0/0;0/0,1/0;0/0;0/57,1/58;0/0;0/450,1/432
5279.63;0;117;0;2;0/5279.63;0/816.28,1/987.87;0/0;0/5279.63,1/5279.63;0/0;0/10,1/18;0/0;0/16,1/26;0/0;0/0,1/0;0/0;0/57,1/60;0/0;0/456,1/438
5339.94;0;119;0;2;0/5339.94;0/817.55,1/988.95;0/0;0/5339.94,1/5339.94;0/0;0/13,1/5;0/0;0/13,1/23;0/0;0/0,1/0;0/0;0/59,1/60;0/0;0/462,1/444
5399.84;0;119;0;2;0/5399.84;0/829.17,1/990.69;0/0;0/5399.84,1/5399.84;0/0;0/13,1/8;0/0;0/13,1/20;0/0;0/0,1/0;0/0;0/59,1/60;0/0;0/466,1/450
5459.96;0;119;0;2;0/5459.96;0/889.29,1/992.77;0/0;0/5459.96,1/5459.96;0/0;0/13,1/12;0/0;0/13,1/25;0/0;0/0,1/0;0/0;0/59,1/60;0/0;0/466,1/456
5519.75;0;120;0;2;0/5519.75;0/949.08,1/994.06;0/0;0/5519.75,1/5519.75;0/0;0/2,1/10;0/0;0/13,1/19;0/0;0/0,1/0;0/0;0/59,1/61;0/0;0/466,1/462
5579.7;0;121;0;2;0/5579.7;0/970.08,1/996.96;0/0;0/5579.7,1/5579.7;0/0;0/11,1/13;0/0;0/17,1/25;0/0;0/0,1/0;0/0;0/60,1/61;0/0;0/471,1/468
5639.73;0;121;0;2;0/5639.73;0/972.47,1/998.42;0/0;0/5639.73,1/5639.73;0/0;0/22,1/13;0/0;0/23,1/19;0/0;0/0,1/0;0/0;0/60,1/61;0/0;0/476,1/474
5699.75;0;123;0;2;0/5699.75;0/974.28,1/1000.52;0/0;0/5699.75,1/5699.75;0/0;0/2,1/13;0/0;0/21,1/16;0/0;0/0,1/0;0/0;0/60,1/63;0/0;0/482,1/479
5759.79;0;123;0;2;0/5759.79;0/975.45,1/1031.25;0/0;0/5759.79,1/5759.79;0/0;0/1,1/8;0/0;0/15,1/13;0/0;0/0,1/0;0/0;0/60,1/63;0/0;0/488,1/482
5819.65;0;126;0;2;0/5819.65;0/978.21,1/1052.39;0/0;0/5819.65,1/5819.65;0/0;0/1,1/4;0/0;0/9,1/9;0/0;0/0,1/0;0/0;0/62,1/64;0/0;0/494,1/486
5879.74;0;128;0;2;0/5879.74;0/980.1,1/1063.49;0/0;0/5879.74,1/5879.74;0/0;0/1,1/0;0/0;0/3,1/4;0/0;0/0,1/0;0/0;0/62,1/66;0/0;0/500,1/491
5939.61;0;129;0;2;0/5939.61;0/1016.56,1/1096.28;0/0;0/5939.61,1/5939.61;0/0;0/0,1/0;0/0;0/1,1/1;0/0;0/0,1/0;0/0;0/62,1/67;0/0;0/502,1/494
5999.96;0;130;0;2;0/5999.96;0/1067,1/1144.66;0/0;0/5999.96,1/5999.96;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6059.59;0;130;0;2;0/6059.59;0/1126.63,1/1204.29;0/0;0/6059.59,1/6059.59;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6119.97;0;130;0;2;0/6119.97;0/1187.01,1/1264.67;0/0;0/6119.97,1/6119.97;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6179.82;0;130;0;2;0/6179.82;0/1246.86,1/1324.52;0/0;0/6179.82,1/6179.82;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6239.98;0;130;0;2;0/6239.98;0/1307.02,1/1384.68;0/0;0/6239.98,1/6239.98;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6299.83;0;130;0;2;0/6299.83;0/1366.87,1/1444.53;0/0;0/6299.83,1/6299.83;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6359.83;0;130;0;2;0/6359.83;0/1426.87,1/1504.53;0/0;0/6359.83,1/6359.83;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6419.83;0;130;0;2;0/6419.83;0/1486.87,1/1564.53;0/0;0/6419.83,1/6419.83;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6479.63;0;130;0;2;0/6479.63;0/1546.67,1/1624.33;0/0;0/6479.63,1/6479.63;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6539.92;0;130;0;2;0/6539.92;0/1606.96,1/1684.62;0/0;0/6539.92,1/6539.92;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6599.85;0;130;0;2;0/6599.85;0/1666.89,1/1744.55;0/0;0/6599.85,1/6599.85;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6659.92;0;130;0;2;0/6659.92;0/1726.96,1/1804.62;0/0;0/6659.92,1/6659.92;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6719.89;0;130;0;2;0/6719.89;0/1786.93,1/1864.59;0/0;0/6719.89,1/6719.89;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6779.83;0;130;0;2;0/6779.83;0/1846.87,1/1924.53;0/0;0/6779.83,1/6779.83;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6839.96;0;130;0;2;0/6839.96;0/1907,1/1984.66;0/0;0/6839.96,1/6839.96;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6899.61;0;130;0;2;0/6899.61;0/1966.65,1/2044.31;0/0;0/6899.61,1/6899.61;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
6959.6;0;130;0;2;0/6959.6;0/2026.64,1/2104.3;0/0;0/6959.6,1/6959.6;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
7019.94;0;130;0;2;0/7019.94;0/2086.98,1/2164.64;0/0;0/7019.94,1/7019.94;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
7079.92;0;130;0;2;0/7079.92;0/2146.96,1/2224.62;0/0;0/7079.92,1/7079.92;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
7140;0;130;0;2;0/7140;0/2207.03,1/2284.7;0/0;0/7140,1/7140;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
7199.73;0;130;0;2;0/7199.73;0/2266.76,1/2344.43;0/0;0/7199.73,1/7199.73;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/63,1/67;0/0;0/503,1/495
