Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;6.50;0;0;0;0;0;0;0;0;7200;0
OutputStation0;45.50;3.50;503;0;63;82.0406218458494;4094.57956264232;11.9849999999997;273.638145750505;7.98412698412698;2267.03927952788;7200
OutputStation1;45.50;9.50;495;0;67;75.4924644406712;4137.80000118856;10.0444444444445;254.188614707577;7.38805970149254;2344.69982317547;7200
