#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
3438.48;1;1236.47;615.1;-Infinity
3469.04;1;736.68;150.76;-Infinity
3492.27;0;1486.72;70.1;-Infinity
3529.5;1;292.36;121.12;-Infinity
3533.29;0;1281.57;40.79;-Infinity
3591.31;1;873.52;798.77;-Infinity
3601.96;1;1657.77;647.05;-Infinity
3612.29;1;334.2;314.37;-Infinity
3621.26;0;374.71;371.22;-Infinity
3622.8;1;1390.55;486.14;-Infinity
3633.14;1;1454.15;626.94;-Infinity
3641.86;0;972.49;401.86;-Infinity
3643.64;1;803.21;699.15;-Infinity
3671.91;0;948.96;462.93;-Infinity
3682.54;0;1410.82;149.21;-Infinity
3692.86;0;1138.7;473.61;-Infinity
3693.94;1;649.28;60.64;-Infinity
3703.17;0;1108.56;473.5;-Infinity
3713.53;0;1219.78;514.97;-Infinity
3844.36;1;858.61;375.16;-Infinity
3858.04;0;551.95;154.52;-Infinity
3864.74;1;468.3;436.18;-Infinity
3874.92;1;1026.2;436.19;-Infinity
3968.35;0;1686;1516.52;-Infinity
3988.41;0;1139.39;1106.73;-Infinity
3998.65;0;1277.04;1072.15;-Infinity
4018.69;0;829.57;325.59;-Infinity
4029.11;0;1241.79;387.15;-Infinity
4035.42;1;2038.02;1059.68;-Infinity
4039.93;0;1245.25;357.25;-Infinity
4046.02;1;1340.01;1122.38;-Infinity
4049.95;0;808.1;428.41;-Infinity
4069.96;0;669.47;211.88;-Infinity
4080.43;0;1469.17;366.49;-Infinity
4100.85;0;1827.15;1669.44;-Infinity
4110.94;0;1706.71;1649.06;-Infinity
4121.5;0;459.81;449.24;-Infinity
4126.48;1;1220.04;503.6;-Infinity
4136.28;1;808.81;544.66;-Infinity
4146.63;1;1374.57;534.17;-Infinity
4157.05;1;1433.77;555.01;-Infinity
4177.47;1;1270.05;647.81;-Infinity
4197.67;1;424.97;332.67;-Infinity
4227.82;1;611.76;101.29;-Infinity
4291.59;0;1388.87;272.48;-Infinity
4301.59;0;1235.27;261.62;-Infinity
4328.45;1;659.73;634.32;-Infinity
4338.66;1;729.75;191.65;-Infinity
4348.91;1;892.15;212.32;-Infinity
4382.25;0;983.51;413.68;-Infinity
4392.5;0;440.39;403.85;-Infinity
4402.97;0;410.32;404.28;-Infinity
4413.37;0;1249.09;343.31;-Infinity
4423.81;0;1319.98;373.8;-Infinity
4454.42;0;1150.88;373.94;-Infinity
4484.87;0;949.17;373.55;-Infinity
4495.21;0;901.89;373.66;-Infinity
4508.07;1;853.74;310.13;-Infinity
4538.28;1;676.38;310.18;-Infinity
4609.5;1;1014.15;431.98;-Infinity
4619.88;1;1198.54;462.78;-Infinity
4629.74;1;2005.45;280.67;-Infinity
4635.32;0;418.52;150.4;-Infinity
4655.81;0;892.4;353.88;-Infinity
4660.42;1;1017.2;1016.7;-Infinity
4695.94;0;736.1;303.17;-Infinity
4726.71;0;716.65;323.52;-Infinity
4736.85;0;782;354.5;-Infinity
4740.64;1;520.78;232.42;-Infinity
4767.44;0;539.62;475.8;-Infinity
4777.7;0;633.04;353.67;-Infinity
4788.28;0;640.76;333.81;-Infinity
4795.48;1;976.47;175.5;-Infinity
4805.9;1;1007.07;196.34;-Infinity
4808.7;0;314.52;313.45;-Infinity
4836.51;1;2187.5;40.75;-Infinity
4876.81;1;2029.64;70.63;-Infinity
4887.41;1;1923.68;50.81;-Infinity
4907.4;1;1467.21;30.39;-Infinity
4927.63;1;1475.28;40.18;-Infinity
4948.67;0;796.73;252.32;-Infinity
4961.64;1;933.61;301.18;-Infinity
4971.54;1;1067.66;341.51;-Infinity
4992.05;1;1227.88;453.51;-Infinity
5002.14;1;2369.53;74.47;-Infinity
5019.12;0;571.66;230.69;-Infinity
5029.18;0;567.13;220.42;-Infinity
5039.21;0;867.06;271.62;-Infinity
5059.59;0;990.42;322.42;-Infinity
5062.3;1;421.3;60.11;-Infinity
5080;0;544.33;131.04;-Infinity
5090.78;0;440.58;434.88;-Infinity
5100.87;0;501.78;374.11;-Infinity
5113.08;1;597.8;151.25;-Infinity
5133.48;1;1989.24;794.51;-Infinity
5143.27;1;1097.25;1097.2;-Infinity
5163.75;1;1570.11;256.14;-Infinity
5174.15;1;1346.67;1298.83;-Infinity
5184.35;1;875.92;855.8;-Infinity
5195;1;1080.04;454.11;-Infinity
5205.41;1;679.53;233.54;-Infinity
5275.31;1;675.89;283.19;-Infinity
5285.86;1;603.23;223.21;-Infinity
5339.15;0;808.69;248.31;-Infinity
5349.32;0;613.9;248.06;-Infinity
5386.33;1;526.48;222.28;-Infinity
5389.42;0;612.65;40.06;-Infinity
5426.45;1;2710.75;220.89;-Infinity
5437.13;1;2785.5;241.97;-Infinity
5447.63;1;638.67;303.99;-Infinity
5537.57;1;1813.44;1692.99;-Infinity
5547.93;0;2100.74;1447.03;-Infinity
5547.93;1;808.33;434.81;-Infinity
5558.31;0;876.52;518.68;-Infinity
5558.31;1;2556.9;1522.66;-Infinity
5568.58;0;1225.84;790.57;-Infinity
5568.58;1;883.66;435.04;-Infinity
5579.03;0;1403.09;498.61;-Infinity
5589.31;0;2647.5;1559.78;-Infinity
5600;0;903.27;260.8;-Infinity
5620.42;0;800.45;560.42;-Infinity
5630.69;0;1085.47;611.53;-Infinity
5640.84;0;1026.24;611.26;-Infinity
5649.13;1;832.67;100.89;-Infinity
5651.51;0;2607.79;261.72;-Infinity
5699.7;1;1081.5;313.32;-Infinity
5709.82;1;1209.3;423.91;-Infinity
5730.33;1;1375.9;454.69;-Infinity
5761.78;0;2328.05;203.27;-Infinity
5771.57;0;1805.32;202.68;-Infinity
5782;0;2500.77;233.76;-Infinity
5790.17;1;803.69;605.42;-Infinity
5800;1;837.94;625.67;-Infinity
5802.53;0;1173.91;223.22;-Infinity
5812.61;0;1342.73;171.48;-Infinity
5830.19;1;2242.04;403.39;-Infinity
5852.94;0;874.75;201.39;-Infinity
5860;1;1083.14;322.17;-Infinity
5863.25;0;1745.75;1449.64;-Infinity
5870.22;1;1043.2;220.91;-Infinity
5873.27;0;1836.63;242.35;-Infinity
5883.48;0;1008.81;293.82;-Infinity
5893.75;0;2189;1258.18;-Infinity
5904.08;0;2500.61;283.59;-Infinity
5921.59;1;2024.49;363.08;-Infinity
5932.02;1;1254.45;494.81;-Infinity
5941.81;1;1930.08;372.92;-Infinity
5952.41;1;1252.5;504.74;-Infinity
5980.04;0;1043.36;379.97;-Infinity
