Tag;Instance;Setting;Config;Seed;Timestamp
n.a.;1-1-2-6-0.85.xlayo;Letter-Fixed-7200.xsett;PPFAR-TAGreedy-SAConstantRatio-ISEmptiest-PSFixed-RPDummy-OBDefault-RBSamePod-MMNoChange.xconf;2;20190217-122752
n.a.;1-1-2-6-0.85.xlayo;Letter-Fixed-7200.xsett;PPFAR-TAGreedy-SAConstantRatio-ISEmptiest-PSFixed-RPDummy-OBDefault-RBSamePod-MMNoChange.xconf;2;20190217-125604
n.a.;1-1-2-6-0.85.xlayo;Letter-Fixed-7200.xsett;PPFAR-TAGreedy-SAConstantRatio-ISEmptiest-PSFixed-RPDummy-OBDefault-RBSamePod-MMNoChange.xconf;2;20190217-125958
n.a.;1-1-2-6-0.85.xlayo;Letter-Fixed-7200.xsett;PPFAR-TAGreedy-SAConstantRatio-ISEmptiest-PSFixed-RPDummy-OBDefault-RBSamePod-MMNoChange.xconf;2;20190217-130924
