#TimeStamp;BotsQueueing;TaskBotCounts
4139.84;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4199.84;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4259.88;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4319.95;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4379.97;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4439.76;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4499.59;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4559.95;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4619.76;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4679.88;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4739.61;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4799.72;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4859.9;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4919.9;3;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
4979.98;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
5039.91;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5099.6;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5159.92;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5219.92;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5279.73;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5339.94;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5399.79;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5459.61;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5519.72;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5579.76;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5639.93;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5699.84;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5759.84;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5819.99;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5879.93;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5939.99;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5999.84;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6059.81;4;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
6119.99;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6179.82;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6239.78;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/1
6299.71;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6359.82;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6419.93;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6479.62;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6539.65;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
6599.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
