Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;6.50;0;0;0;0;0;0;0;0;7200;0
OutputStation0;45.50;3.50;566;0;86;67.8377493650657;7025.54340838083;10.0444444444447;424.939430145979;6.58139534883721;1654.12831790023;7200
OutputStation1;45.50;9.50;432;0;65;68.3698870218848;7105.31528164729;10.0444444444443;304.972683986365;6.64615384615385;2968.86169146402;7200
