#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
1679.95;0;28;0;2;0/1679.95;0/87.26,1/705.66;0/0;0/1679.95,1/1679.95;0/0;0/19,1/15;0/0;0/24,1/15;0/0;0/0,1/0;0/0;0/17,1/11;0/0;0/164,1/100
1739.95;0;28;0;2;0/1739.95;0/89.36,1/765.65;0/0;0/1739.95,1/1739.95;0/0;0/16,1/15;0/0;0/21,1/15;0/0;0/0,1/0;0/0;0/17,1/11;0/0;0/170,1/100
1799.95;0;28;0;2;0/1799.95;0/91.65,1/825.65;0/0;0/1799.95,1/1799.95;0/0;0/16,1/15;0/0;0/21,1/15;0/0;0/0,1/0;0/0;0/17,1/11;0/0;0/176,1/100
1859.95;0;28;0;2;0/1859.95;0/93.91,1/885.65;0/0;0/1859.95,1/1859.95;0/0;0/13,1/15;0/0;0/18,1/15;0/0;0/0,1/0;0/0;0/17,1/11;0/0;0/182,1/100
1919.66;0;28;0;2;0/1919.66;0/96.06,1/945.37;0/0;0/1919.66,1/1919.66;0/0;0/19,1/15;0/0;0/25,1/15;0/0;0/0,1/0;0/0;0/17,1/11;0/0;0/187,1/100
1979.86;0;30;0;2;0/1979.86;0/98.87,1/980.19;0/0;0/1979.86,1/1979.86;0/0;0/23,1/18;0/0;0/28,1/19;0/0;0/0,1/0;0/0;0/18,1/12;0/0;0/193,1/103
2039.96;0;30;0;2;0/2039.96;0/100.29,1/981.19;0/0;0/2039.96,1/2039.96;0/0;0/21,1/15;0/0;0/26,1/16;0/0;0/0,1/0;0/0;0/18,1/12;0/0;0/199,1/109
2099.93;0;32;0;2;0/2099.93;0/101.37,1/1012.07;0/0;0/2099.93,1/2099.93;0/0;0/15,1/12;0/0;0/20,1/13;0/0;0/0,1/0;0/0;0/19,1/13;0/0;0/205,1/112
2159.6;0;33;0;2;0/2159.6;0/102.3,1/1013.99;0/0;0/2159.6,1/2159.6;0/0;0/14,1/14;0/0;0/18,1/16;0/0;0/0,1/0;0/0;0/20,1/13;0/0;0/211,1/118
2219.86;0;34;0;2;0/2219.86;0/102.99,1/1017.03;0/0;0/2219.86,1/2219.86;0/0;0/11,1/19;0/0;0/15,1/20;0/0;0/0,1/0;0/0;0/21,1/13;0/0;0/217,1/124
2279.64;0;34;0;2;0/2279.64;0/104.37,1/1018.56;0/0;0/2279.64,1/2279.64;0/0;0/16,1/15;0/0;0/19,1/16;0/0;0/0,1/0;0/0;0/21,1/13;0/0;0/223,1/130
2339.68;0;35;0;2;0/2339.68;0/106.47,1/1020.01;0/0;0/2339.68,1/2339.68;0/0;0/22,1/17;0/0;0/26,1/18;0/0;0/0,1/0;0/0;0/22,1/13;0/0;0/229,1/136
2399.71;0;38;0;2;0/2399.71;0/107.76,1/1021.06;0/0;0/2399.71,1/2399.71;0/0;0/18,1/12;0/0;0/23,1/12;0/0;0/0,1/0;0/0;0/23,1/15;0/0;0/235,1/142
2459.99;0;41;0;2;0/2459.99;0/108.85,1/1063.64;0/0;0/2459.99,1/2459.99;0/0;0/17,1/13;0/0;0/21,1/14;0/0;0/0,1/0;0/0;0/24,1/17;0/0;0/241,1/143
2519.87;0;41;0;2;0/2519.87;0/109.56,1/1064.94;0/0;0/2519.87,1/2519.87;0/0;0/14,1/13;0/0;0/19,1/14;0/0;0/0,1/0;0/0;0/24,1/17;0/0;0/247,1/149
2579.97;0;41;0;2;0/2579.97;0/112.21,1/1066.79;0/0;0/2579.97,1/2579.97;0/0;0/17,1/13;0/0;0/22,1/14;0/0;0/0,1/0;0/0;0/24,1/17;0/0;0/253,1/155
2639.97;0;41;0;2;0/2639.97;0/115.57,1/1068.55;0/0;0/2639.97,1/2639.97;0/0;0/17,1/12;0/0;0/22,1/13;0/0;0/0,1/0;0/0;0/24,1/17;0/0;0/259,1/161
2699.97;0;41;0;2;0/2699.97;0/116.32,1/1096.84;0/0;0/2699.97,1/2699.97;0/0;0/10,1/13;0/0;0/16,1/13;0/0;0/0,1/0;0/0;0/24,1/17;0/0;0/265,1/164
