# sku probability
134 0.000495967220901906
133 0.000497962380407925
132 0.000507411100431414
131 0.000539693413384243
130 0.000544174455148269
129 0.000573244068573477
128 0.000580222244290632
127 0.000584573881062734
126 0.000586856677093114
125 0.000613253404956182
124 0.000656813303524899
123 0.000687576094503712
122 0.000700556501493144
121 0.000725372690945878
120 0.000731845704109644
119 0.000781828782227719
118 0.000800473455549632
117 0.000834826729031262
116 0.000856481470334115
115 0.000866111385681893
114 0.000878457027715703
113 0.000896181897216255
112 0.000952118540688248
111 0.000972439607904051
110 0.00102312622267242
109 0.00104646493759766
108 0.0010779440183284
107 0.00108770246855037
106 0.00109085845372585
105 0.00111706821664393
104 0.00112605907065207
103 0.00118807933874457
102 0.0012059222855839
101 0.00123838870310232
100 0.00132069081926616
99 0.00134136494663551
98 0.00136136605674193
97 0.00140657289419003
96 0.00140720018686887
95 0.0014427973456967
94 0.00144831255064475
93 0.00155021938065332
92 0.00162847038835367
91 0.00168100051654512
90 0.00170438118033537
89 0.00170577481258209
88 0.00181585424943251
87 0.00191805775155125
86 0.0021210914666815
85 0.00233065078103354
84 0.00244123005947515
83 0.00246147252244423
82 0.00247031192588264
81 0.00253021595090017
80 0.00266952396734601
79 0.00269732495395681
78 0.00273145796349404
77 0.00279606974968692
76 0.00291766552987474
75 0.00312943148235265
74 0.00329153848818286
73 0.00336548189625902
72 0.00338966512017422
71 0.00360080911767724
70 0.0036303467520861
69 0.00367193166434213
68 0.00368240890469622
67 0.00372816692046348
66 0.00392927200141294
65 0.00395947607130957
64 0.00400419729014408
63 0.0040100756251613
62 0.00423778786035267
61 0.00425627887477646
60 0.00425855157395089
59 0.00433297544862502
58 0.00457124244663119
57 0.00466767910432655
56 0.00488731112596221
55 0.00490590111071749
54 0.00492507941439738
53 0.00492590818898786
52 0.00494037527812914
51 0.00495084363372333
50 0.00503091883280191
49 0.00505832740995887
48 0.00537789975453274
47 0.00540174762153426
46 0.00574875790217948
45 0.00601682834396319
44 0.00635587077041894
43 0.00656939038843248
42 0.00675806294884733
41 0.00688456334986243
40 0.00695762662805509
39 0.00708814751693657
38 0.00755646709195652
37 0.00897414603558733
36 0.00978968441435442
35 0.0100399373293858
34 0.0103755324588827
33 0.0104833575287486
32 0.010566989376431
31 0.010838723119689
30 0.0114587880263148
29 0.0118024586731655
28 0.0118949128659785
27 0.0119961655473951
26 0.0130955595613508
25 0.0142254996814752
24 0.0145053055821466
23 0.0161640155976334
22 0.0166410274875076
21 0.0166742389797175
20 0.0168413795906052
19 0.0185970900691781
18 0.0194610633219342
17 0.0199602970487321
16 0.020120929793842
15 0.0209552092277479
14 0.021450652230579
13 0.0216901712045207
12 0.0230491336766536
11 0.0237561329300397
10 0.0268639097760458
9 0.027951264860181
8 0.0287755600589577
7 0.0303977893956266
6 0.0307821887937835
5 0.0310361339809978
4 0.0336633892623944
3 0.0356984290474477
2 0.0377201232347321
1 0.0396803325728643
