# sku cum.frequency
1 0.0396803325728643
2 0.0774004558075964
3 0.113098884855044
4 0.146762274117439
5 0.177798408098436
6 0.20858059689222
7 0.238978386287846
8 0.267753946346804
9 0.295705211206985
10 0.322569120983031
11 0.346325253913071
12 0.369374387589724
13 0.391064558794245
14 0.412515211024824
15 0.433470420252572
16 0.453591350046414
17 0.473551647095146
18 0.49301271041708
19 0.511609800486258
20 0.528451180076864
21 0.545125419056581
22 0.561766446544089
23 0.577930462141722
24 0.592435767723869
25 0.606661267405344
26 0.619756826966695
27 0.63175299251409
28 0.643647905380068
29 0.655450364053234
30 0.666909152079548
31 0.677747875199238
32 0.688314864575668
33 0.698798222104417
34 0.7091737545633
35 0.719213691892686
36 0.72900337630704
37 0.737977522342627
38 0.745533989434584
39 0.75262213695152
40 0.759579763579576
41 0.766464326929438
42 0.773222389878285
43 0.779791780266718
44 0.786147651037137
45 0.7921644793811
46 0.797913237283279
47 0.803314984904814
48 0.808692884659346
49 0.813751212069305
50 0.818782130902107
51 0.823732974535831
52 0.82867334981396
53 0.833599258002948
54 0.838524337417345
55 0.843430238528062
56 0.848317549654025
57 0.852985228758351
58 0.857556471204982
59 0.861889446653607
60 0.866147998227558
61 0.870404277102335
62 0.874642064962687
63 0.878652140587849
64 0.882656337877993
65 0.886615813949302
66 0.890545085950715
67 0.894273252871179
68 0.897955661775875
69 0.901627593440217
70 0.905257940192303
71 0.908858749309981
72 0.912248414430155
73 0.915613896326414
74 0.918905434814597
75 0.922034866296949
76 0.924952531826824
77 0.927748601576511
78 0.930480059540005
79 0.933177384493962
80 0.935846908461308
81 0.938377124412208
82 0.940847436338091
83 0.943308908860535
84 0.94575013892001
85 0.948080789701043
86 0.950201881167725
87 0.952119938919276
88 0.953935793168709
89 0.955641567981291
90 0.957345949161626
91 0.959026949678171
92 0.960655420066525
93 0.962205639447178
94 0.963653951997823
95 0.96509674934352
96 0.966503949530389
97 0.967910522424579
98 0.969271888481321
99 0.970613253427956
100 0.971933944247222
101 0.973172332950325
102 0.974378255235908
103 0.975566334574653
104 0.976692393645305
105 0.977809461861949
106 0.978900320315675
107 0.979988022784225
108 0.981065966802554
109 0.982112431740151
110 0.983135557962824
111 0.984107997570728
112 0.985060116111416
113 0.985956298008632
114 0.986834755036348
115 0.98770086642203
116 0.988557347892364
117 0.989392174621395
118 0.990192648076945
119 0.990974476859173
120 0.991706322563282
121 0.992431695254228
122 0.993132251755721
123 0.993819827850225
124 0.99447664115375
125 0.995089894558706
126 0.995676751235799
127 0.996261325116862
128 0.996841547361152
129 0.997414791429726
130 0.997958965884874
131 0.998498659298258
132 0.99900607039869
133 0.999504032779098
134 1
