% sku frequency
100 0.0124990691545029
99 0.0125493499706316
98 0.0127874709593137
97 0.0136010304952261
96 0.0137139590286702
95 0.0146224138425549
94 0.0147896108485351
93 0.0154548453904734
92 0.0173278813437646
91 0.0182804085528741
90 0.0197031811866007
89 0.0201730530881952
88 0.0210388037322591
87 0.0215845335661281
86 0.0218272209309604
85 0.0221383484148629
84 0.023994721791706
83 0.0245068411691958
82 0.0257842149078179
81 0.0263723832373646
80 0.0274116268192319
79 0.0274911620693381
78 0.0283782669559108
77 0.0312091311439563
76 0.0332832598325882
75 0.0343083328306808
74 0.0354476084999328
73 0.0354634171547037
72 0.0364995063482706
71 0.0390677013053427
70 0.0410397363823333
69 0.0423635692432346
68 0.0429527947429787
67 0.0429879162290235
66 0.0620325577645869
65 0.0622553231212579
64 0.0672757457978461
63 0.0679763696285497
62 0.0688365693124752
61 0.0704648768896416
60 0.0735292609888559
59 0.0788660598195876
58 0.0829513835888008
57 0.0848148611173819
56 0.0854243122572079
55 0.0907454369507899
54 0.0914898267402309
53 0.0925378248178597
52 0.0928018659605302
51 0.0990231620210763
50 0.099784346918939
49 0.100911384318446
48 0.107264193589122
47 0.107321468793916
46 0.109197054754227
45 0.117632056025623
44 0.123167090824849
43 0.123635584497909
42 0.124118904632504
41 0.124139790913861
40 0.124768199072732
39 0.126786206329388
38 0.135530611913531
37 0.144876757059007
36 0.160176852317146
35 0.165557845977455
34 0.173500646377407
33 0.175341943399262
32 0.178631252747711
31 0.190433562472812
30 0.24671376925528
29 0.2530204934888
28 0.261477961149399
27 0.266302943833119
26 0.288777519827315
25 0.297438501844532
24 0.299768477094694
23 0.302320186590339
22 0.330026456741602
21 0.35850253158421
20 0.36555403247971
19 0.407355849852106
18 0.419377218095388
17 0.420214194250991
16 0.424426371923159
15 0.468672736929021
14 0.490446073913271
13 0.503027463594952
12 0.50707563392757
11 0.528100645055536
10 0.540586503179869
9 0.580870476181844
8 0.67700818098528
7 0.704411053230326
6 0.76606690077024
5 0.775754304409084
4 0.782154079077
3 0.848364594741712
2 0.9505999770911
1 1
