#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;34.63;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.99;35.82;0.28;PP/0.02,TA/0,IS/0,PS/0,RB/0,OB/0.05,RP/0
119.98;36.04;0.33;PP/0.02,TA/0,IS/0,PS/0,RB/0,OB/0.05,RP/0
179.96;36.05;0.35;PP/0.02,TA/0.02,IS/0,PS/0,RB/0,OB/0.05,RP/0
239.74;36.22;0.37;PP/0.02,TA/0.02,IS/0,PS/0,RB/0,OB/0.05,RP/0
299.96;36.22;0.37;PP/0.02,TA/0.02,IS/0,PS/0,RB/0,OB/0.05,RP/0
359.86;36.3;0.4;PP/0.04,TA/0.02,IS/0,PS/0,RB/0,OB/0.05,RP/0
419.96;36.77;0.42;PP/0.05,TA/0.05,IS/0,PS/0,RB/0,OB/0.05,RP/0
479.8;37.96;0.42;PP/0.05,TA/0.05,IS/0,PS/0,RB/0,OB/0.05,RP/0
539.9;37.96;0.45;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0.05,RP/0
599.98;37.96;0.45;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0.05,RP/0
