#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
241;28.50;5.50;True;False;False;False;242;29.50;5.50;True;False;False;False;2;2.74361111111108;0.0179445987654138;2.64888888888891;2.83833333333325
242;29.50;5.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;20.4959835525075;0;20.4959835525075;20.4959835525075
242;29.50;5.50;True;False;False;False;28;45.50;9.50;False;False;True;False;1;30.2105555555556;0;30.2105555555556;30.2105555555556
242;29.50;5.50;True;False;False;False;241;28.50;5.50;True;False;False;False;1;4.15111111111099;0;4.15111111111099;4.15111111111099
242;29.50;5.50;True;False;False;False;312;27.50;8.50;True;False;False;False;1;8.33111111111106;0;8.33111111111106;8.33111111111106
312;27.50;8.50;True;False;False;False;313;28.50;8.50;True;False;False;False;1;2.73222222222228;0;2.73222222222228;2.73222222222228
313;28.50;8.50;True;False;False;False;28;45.50;9.50;False;False;True;False;1;38.9597522343331;0;38.9597522343331;38.9597522343331
313;28.50;8.50;True;False;False;False;236;23.50;5.50;True;False;False;False;1;13.8616666666667;0;13.8616666666667;13.8616666666667
360;27.50;10.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;46.0604279969518;0;46.0604279969518;46.0604279969518
360;27.50;10.50;True;False;False;False;431;26.50;13.50;True;False;False;False;1;7.84444444444443;0;7.84444444444443;7.84444444444443
361;28.50;10.50;True;False;False;False;312;27.50;8.50;True;False;False;False;1;6.02999999999992;0;6.02999999999992;6.02999999999992
361;28.50;10.50;True;False;False;False;360;27.50;10.50;True;False;False;False;1;2.63611111111112;0;2.63611111111112;2.63611111111112
367;34.50;10.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;45.4873160136351;0;45.4873160136351;45.4873160136351
367;34.50;10.50;True;False;False;False;438;33.50;13.50;True;False;False;False;1;7.10657287525376;0;7.10657287525376;7.10657287525376
391;34.50;11.50;True;False;False;False;367;34.50;10.50;True;False;False;False;1;3.03342712474619;0;3.03342712474619;3.03342712474619
391;34.50;11.50;True;False;False;False;438;33.50;13.50;True;False;False;False;1;5.82741261167837;0;5.82741261167837;5.82741261167837
428;23.50;13.50;True;False;False;False;429;24.50;13.50;True;False;False;False;1;4.05111111111103;0;4.05111111111103;4.05111111111103
429;24.50;13.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;34.2509835525074;0;34.2509835525074;34.2509835525074
431;26.50;13.50;True;False;False;False;456;27.50;14.50;True;False;False;False;1;6.53944444444443;0;6.53944444444443;6.53944444444443
437;32.50;13.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;45.6518584594381;0;45.6518584594381;45.6518584594381
437;32.50;13.50;True;False;False;False;428;23.50;13.50;True;False;False;False;1;15.3044444444445;0;15.3044444444445;15.3044444444445
438;33.50;13.50;True;False;False;False;361;28.50;10.50;True;False;False;False;1;12.3006393474162;0;12.3006393474162;12.3006393474162
438;33.50;13.50;True;False;False;False;437;32.50;13.50;True;False;False;False;1;2.42120630583918;0;2.42120630583918;2.42120630583918
438;33.50;13.50;True;False;False;False;462;33.50;14.50;True;False;False;False;1;2.12166666666667;0;2.12166666666667;2.12166666666667
456;27.50;14.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;52.4305217883646;0;52.4305217883646;52.4305217883646
456;27.50;14.50;True;False;False;False;428;23.50;13.50;True;False;False;False;1;12.8483333333333;0;12.8483333333333;12.8483333333333
462;33.50;14.50;True;False;False;False;28;45.50;9.50;False;False;True;False;1;18.7372222222223;0;18.7372222222223;18.7372222222223
462;33.50;14.50;True;False;False;False;431;26.50;13.50;True;False;False;False;1;9.75341712519395;0;9.75341712519395;9.75341712519395
