#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.99;0;0;0;19.44;0;19.44;0;1
119.98;0;0;0;79.42;0;79.42;0;1
179.96;0;0;0;32.95;0;32.95;0;0.71
239.74;0;0;0;0;0;0;0;0
299.96;0;0;0;0;0;0;0;0
359.86;1;0;0;10.24;0;10.24;0;0.72
419.96;1;0;0;60.59;0;60.6;0;0.75
479.8;1;0;0;0;0;0;0;0
539.9;2;0;0;0;0;0;0;0
599.98;2;0;0;0;0;0;0;0
